osm_id,latitude,longitude,source_url,tags_json,release_ready,review_status
11518221727,35.1471086,-106.5542724,https://www.openstreetmap.org/node/11518221727,"{""direction"": ""315"", ""highway"": ""speed_camera""}",false,unreconciled_osm_candidate
11785891511,35.1746303,-106.5696659,https://www.openstreetmap.org/node/11785891511,"{""direction"": ""90"", ""highway"": ""speed_camera"", ""maxspeed"": ""55 mph""}",false,unreconciled_osm_candidate
12087940066,35.1939793,-106.6797423,https://www.openstreetmap.org/node/12087940066,"{""direction"": ""0;200;both"", ""highway"": ""speed_camera"", ""maxspeed"": ""35 mph"", ""ref"": ""Golf Course NW""}",false,unreconciled_osm_candidate
12087940067,35.0791312,-106.6456839,https://www.openstreetmap.org/node/12087940067,"{""direction"": ""10"", ""highway"": ""speed_camera""}",false,unreconciled_osm_candidate
12087940068,35.2038492,-106.6598281,https://www.openstreetmap.org/node/12087940068,"{""direction"": ""10"", ""highway"": ""speed_camera"", ""maxspeed"": ""45 mph""}",false,unreconciled_osm_candidate
12087956669,35.1682595,-106.6754783,https://www.openstreetmap.org/node/12087956669,"{""direction"": ""200"", ""highway"": ""speed_camera"", ""maxspeed"": ""45 mph""}",false,unreconciled_osm_candidate
12087956670,35.0908541,-106.6487332,https://www.openstreetmap.org/node/12087956670,"{""direction"": ""280"", ""highway"": ""speed_camera"", ""maxspeed"": ""30 mph""}",false,unreconciled_osm_candidate
12087956671,35.2059403,-106.6674602,https://www.openstreetmap.org/node/12087956671,"{""direction"": ""260"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph""}",false,unreconciled_osm_candidate
12087956672,35.0749287,-106.5322298,https://www.openstreetmap.org/node/12087956672,"{""direction"": ""180"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph""}",false,unreconciled_osm_candidate
12087956673,35.1305974,-106.5635257,https://www.openstreetmap.org/node/12087956673,"{""direction"": ""270"", ""highway"": ""speed_camera"", ""maxspeed"": ""40 mph""}",false,unreconciled_osm_candidate
